,IPCC_2013_GWP100a[kg CO2-Eq]
PT,0.3756007105378586
SS,0.9150586447310122
ZA,1.0536215414368693
DK,0.28447964531181025
TT,0.5873098018569624
KH,0.5024268820195505
FI,0.2317354431237925
ER,0.9107063389097284
IN-Northern grid,1.0677367302260958
BR-Southern grid,0.12298397546292762
NI,0.4479708389879745
RS,0.8963615448197019
NZ,0.09913156922388967
CA-NF,0.08103374707650826
TG,0.7350837294604526
BG,0.5192579050150744
CL,0.5547628325625296
DZ,0.5728952020370499
NG,0.45124534564203433
US-NPCC,0.2133938437721097
BA,0.8339580127920412
LT,0.19237208452801624
IR,0.6039933906988977
GI,0.9150586447310122
US-ASCC,0.5339889150819208
CA-ON,0.06558585739417008
JP,0.6624501408438142
CM,0.05175019377801923
AL,0.004401034777627603
PH,0.6979577602635494
CA-NT,0.2959388691481603
DO,0.6947082451569656
MT,0.3927213477384933
CD,0.0048528638881824475
JO,0.49411080146035646
AO,0.20222551412433049
HR,0.21490347383230055
US-TRE,0.47640663957642154
GB,0.2987000487678668
VE,0.28452092987705035
HU,0.383429089417681
US-WECC,0.41008993395269755
RU,0.6594171375547289
EG,0.5403285128298794
PL,1.0141065017700097
NL,0.5981683794237742
ET,0.005092430747102992
IN-North-eastern grid,0.6123313849107491
CA-SK,0.7205447304969017
NP,0.004458748042789789
SG,0.4602744804716308
CI,0.4159970586310459
US-PR,0.7882363518798505
UZ,0.5849008149060255
CW,0.6157080902368485
SV,0.2391686818347793
US-MRO,0.5724779744448656
BR-Northern grid,0.14961083580848394
ID,1.0815636587119015
MD,0.5731874240834299
PY,0.004401034777627603
VN,0.5360186559051782
LV,0.3133371523341226
GE,0.10370154734461434
OM,0.5728234812303151
BD,0.6615959440473209
GT,0.4119838134078144
CA-QC,0.015073846369949153
EC,0.14695728922994333
ES,0.3082475698597917
CH,0.017744661348701764
LY,0.6668592887919086
BR-South-eastern grid,0.21554513396594155
CR,0.019634436209077195
SI,0.34627865826295223
IL,0.6838077041349347
MA,0.7318623218822501
XK,1.2222366434486482
CO,0.16196230743728532
CA-NS,0.9270937765678248
TH,0.6992305302877456
CA-MB,0.05086713358020571
CN-CSG,0.6598178935980432
KP,0.16530916929278833
HK,0.8634960646913612
UA,0.49551203312148595
HN,0.29842471519894853
BN,0.5828332306424557
CY,0.983958298096895
CA-YK,0.14644574932578514
DE,0.5696370428239576
CN-SGCC,1.0143169619072647
CA-AB,0.7964463350808266
NA,0.02150904659725607
TN,0.5259216587477026
MU,0.8162255289974175
HT,0.7306289971564466
MN,1.1707168264867407
ME,0.5110268554794999
MZ,0.09731953597535797
MX,0.507942820642451
KZ,0.9674481577231338
BR-Mid-western grid,0.12678531621953498
AZ,0.5391622363839149
EE,0.9695869568663564
LU,0.5410310925792724
TW,0.7345043715471826
AR,0.37266723707467414
US-RFC,0.5213764790990566
SY,0.6478715506743685
GA,0.3514056973655533
LK,0.5720048504587547
PE,0.17858247669651178
SN,0.8251127624710689
GR,0.7840222813856228
CZ,0.8535002543368679
KW,0.6987151801235035
NO,0.009156640645159548
FR,0.0667973141606523
RO,0.38430999682372824
IQ,0.7375115955819158
MY,0.7910585376157666
AU,0.9179157451732118
GH,0.29782575060085714
KR,0.6822750773336146
BR-North-eastern grid,0.3536792169675305
IN-Eastern grid,1.4842452294661452
QA,0.5031375592556178
MK,0.8033122794182663
CA-BC,0.062056330287917745
TJ,0.08110975768157275
KG,0.09025305300222604
BW,1.008741392456318
PA,0.17243258151798804
YE,0.8807246278769236
ZM,0.14876322489446478
SE,0.027730843488235936
SD,0.3604171671394559
PK,0.4585270936389938
SK,0.2151413476177248
CA-PE,0.018534416549266387
SA,0.9487787796624099
UY,0.036990782589054354
MM,0.24429043848457563
BO,0.40745171273155006
IE,0.38836710513487305
KE,0.18150254134603583
CU,0.8573763452863136
US-SERC,0.5240184505809363
TR,0.5854755804275441
CG,0.004401034777627603
US-HICC,0.8758911031394484
CA-NB,0.36700803878067084
AE,0.5044145921076997
TM,0.6459470922214812
CA-NU,1.0595743967825688
AM,0.25795683891614357
NE,1.114998609236789
BH,0.49599090933238177
IN-Southern grid,1.167274019203486
LB,0.8926064561327961
ZW,0.4424103515737893
IN-Western grid,1.3390838216057808
BJ,0.676965987554006
TZ,0.5839454937851495
JM,0.6755263270012332
CN-YN,0.45969233658683734
CN-GZ,0.7848665205178662
CN-SC,0.2861816242293817
CN-ZJ,0.8346165704718664
CN-BJ,0.9451618664764938
CENTREL,0.8510893037065556
CN-XJ,1.1283761344928613
CN-JX,0.9711500666315611
CN-JL,1.3613159555561063
CN-AH,1.0232274396073213
CN-HB,1.2180811622997167
CN-SX,1.3055537835024333
CN-TJ,1.0754629008299197
NORDEL,0.05774083789393025
CN-NM,1.5623538705887015
CN-FJ,0.7953653038178149
BR,0.20289616577431832
CN-XZ,0.23889568415701037
CN-SA,1.0916896498224802
CN-HN,0.7700045460582211
CN-HE,1.221477607922114
CN-GD,0.8605377418411692
CN-GX,0.6663709185871691
CN-SD,1.194268119811118
CN-HU,0.4802421927452343
CN-HA,1.0164890867796608
CN-CQ,0.8687723076041168
CN-HL,1.396051148753889
CN-JS,1.0218206568330521
CN-QH,0.3065446100772478
CN-NX,1.2730921199520022
CN-GS,0.7456975256441275
CN-SH,0.8615624763531452
CN-LN,1.2708587929423636
IS,0.04314650487080552
AT,0.1427895681313834
BE,0.2272014817525188
IT,0.43939269770120426
BY,0.6073857960409373
